Rk,G#,Date,Tm,,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,FantPt,DKPt,FDPt
14,14,2013-12-15,NWE,@,MIA,L 20-24,QB,2,11,19,1,0,0,0,1,4,6,0,0,0,0,80,100.0%,0,0.0%,0,0.0%,20.56,24.6,21.6
15,15,2013-12-22,NWE,@,BAL,W 41-7,QB,1,1,4,1,0,0,0,1,1,4,1,0,0,0,67,100.0%,0,0.0%,0,0.0%,10.88,10.9,10.9
16,16,2013-12-29,NWE,,BUF,W 34-20,QB,3,6,17,1,0,0,0,1,1,5,1,0,0,0,75,100.0%,0,0.0%,0,0.0%,8.58,9.6,9.6
1,1,2014-09-07,NWE,@,MIA,L 20-33,QB,3,3,18,1,0,0,0,2,2,9,1,0,0,0,86,100.0%,0,0.0%,0,0.0%,10.26,12.3,10.3
2,2,2014-09-14,NWE,@,MIN,W 30-7,QB,3,4,19,1,0,0,0,1,1,9,1,0,0,0,65,100.0%,0,0.0%,0,0.0%,9.96,10.0,10.0
3,3,2014-09-21,NWE,,OAK,W 16-9,QB,4,9,29,1,0,0,0,1,4,6,1,0,0,0,75,100.0%,0,0.0%,0,0.0%,12.66,12.7,12.7
4,4,2014-09-29,NWE,@,KAN,L 14-41,QB,,,,,,,,,,,,,,,38,76.0%,0,0.0%,0,0.0%,4.36,7.4,6.4
5,5,2014-10-05,NWE,,CIN,W 43-17,QB,3,5,37,2,4,13,0,1,3,4,0,3,7,0,83,96.5%,0,0.0%,0,0.0%,20.98,21.0,21.0
6,6,2014-10-12,NWE,@,BUF,W 37-22,QB,2,2,19,2,0,0,0,1,1,1,1,0,0,0,71,100.0%,0,0.0%,0,0.0%,30.74,33.7,30.7
7,7,2014-10-16,NWE,,NYJ,W 27-25,QB,3,6,30,2,0,0,0,1,1,3,1,0,0,0,57,100.0%,0,0.0%,0,0.0%,22.44,22.4,22.4
8,8,2014-10-26,NWE,,CHI,W 51-23,QB,6,7,28,4,2,0,0,5,6,22,4,1,0,0,67,90.5%,0,0.0%,0,0.0%,34.16,37.2,34.2
9,9,2014-11-02,NWE,,DEN,W 43-21,QB,6,8,28,4,0,0,0,5,6,21,4,0,0,0,84,100.0%,0,0.0%,0,0.0%,27.72,31.7,28.7
10,10,2014-11-16,NWE,@,IND,W 42-20,QB,1,2,2,1,0,0,0,1,2,2,1,0,0,0,70,90.9%,0,0.0%,0,0.0%,14.08,16.1,16.1
11,11,2014-11-23,NWE,,DET,W 34-9,QB,2,5,12,2,0,0,0,2,5,12,2,0,0,0,78,100.0%,0,0.0%,0,0.0%,19.96,24.0,21.0
12,12,2014-11-30,NWE,@,GNB,L 21-26,QB,4,6,30,2,0,0,0,1,2,2,1,0,0,0,56,100.0%,0,0.0%,0,0.0%,17.70,17.7,17.7
13,13,2014-12-07,NWE,@,SDG,W 23-14,QB,3,9,25,1,1,4,0,0,3,0,0,0,0,0,77,100.0%,0,0.0%,0,0.0%,19.38,23.4,20.4
