Rk,G#,Date,Tm,,Opp,Result,Pos,Att,Yds,TD,Tgt,Rec,Yds,TD,Att,Yds,TD,Tgt,Rec,Yds,TD,Num,Pct,Num,Pct,Num,Pct,FantPt,DKPt,FDPt
8,8,2017-11-05,LAR,@,NYG,W 51-17,RB,8,11,2,0,0,0,0,6,2,2,0,0,0,0,40,62.5%,0,0.0%,0,0.0%,22.40,24.4,23.4
9,9,2017-11-12,LAR,,HOU,W 33-7,RB,2,-7,0,0,0,0,0,0,0,0,0,0,0,0,53,80.3%,0,0.0%,0,0.0%,13.60,19.6,16.6
10,10,2017-11-19,LAR,@,MIN,L 7-24,RB,4,11,1,0,0,0,0,2,9,1,0,0,0,0,54,91.5%,0,0.0%,0,0.0%,11.60,14.6,13.1
11,11,2017-11-26,LAR,,NOR,W 26-20,HB,3,10,0,0,0,0,0,1,5,0,0,0,0,0,69,89.6%,0,0.0%,0,0.0%,12.80,16.8,14.8
12,12,2017-12-03,LAR,@,ARI,W 32-16,HB,4,13,0,0,0,0,0,2,2,0,0,0,0,0,55,94.8%,0,0.0%,0,0.0%,15.80,21.8,18.8
13,13,2017-12-10,LAR,,PHI,L 35-43,HB,4,15,2,0,0,0,0,3,11,2,0,0,0,0,45,93.8%,0,0.0%,0,0.0%,25.50,28.5,27.0
14,14,2017-12-17,LAR,@,SEA,W 42-7,HB,6,11,2,1,1,14,1,3,6,2,0,0,0,0,43,63.2%,0,0.0%,0,0.0%,42.00,48.0,43.5
15,15,2017-12-24,LAR,@,TEN,W 27-23,HB,4,15,0,1,1,3,1,3,5,0,1,1,3,1,62,92.5%,0,0.0%,0,0.0%,39.60,55.6,44.6
1,1,2018-09-10,LAR,@,OAK,W 33-13,RB,5,19,0,1,1,19,1,3,6,0,0,0,0,0,59,93.7%,0,0.0%,0,0.0%,20.70,26.7,22.2
2,2,2018-09-16,LAR,,ARI,W 34-0,HB,10,33,3,1,1,11,0,6,13,2,0,0,0,0,49,68.1%,0,0.0%,0,0.0%,29.30,32.3,30.8
3,3,2018-09-23,LAR,,LAC,W 35-23,HB,3,5,1,,,,,3,5,1,,,,,64,83.1%,0,0.0%,0,0.0%,19.60,28.6,22.1
4,4,2018-09-27,LAR,,MIN,W 38-31,HB,2,2,0,2,2,11,1,1,-1,0,1,1,8,1,53,96.4%,0,0.0%,0,0.0%,21.60,25.6,23.6
5,5,2018-10-07,LAR,@,SEA,W 33-31,HB,12,35,3,1,1,8,0,9,14,3,1,1,8,0,66,100.0%,0,0.0%,0,0.0%,29.30,33.3,31.3
6,6,2018-10-14,LAR,@,DEN,W 23-20,HB,5,17,2,1,1,4,0,4,16,2,0,0,0,0,58,78.4%,0,0.0%,0,0.0%,34.50,39.5,35.5
7,7,2018-10-21,LAR,@,SFO,W 39-10,HB,6,13,2,1,1,12,1,2,8,2,0,0,0,0,36,59.0%,0,0.0%,0,0.0%,26.60,30.6,28.6
8,8,2018-10-28,LAR,,GNB,W 29-27,HB,4,5,0,,,,,2,2,0,0,0,0,0,70,89.7%,0,0.0%,0,0.0%,27.50,36.5,30.5
9,9,2018-11-04,LAR,@,NOR,L 35-45,HB,3,12,1,,,,,2,8,1,0,0,0,0,54,90.0%,0,0.0%,0,0.0%,13.90,19.9,16.9
10,10,2018-11-11,LAR,,SEA,W 36-31,HB,2,26,1,1,1,4,0,0,0,0,0,0,0,0,58,89.2%,0,0.0%,0,0.0%,22.00,28.0,23.5
11,11,2018-11-19,LAR,,KAN,W 54-51,HB,2,3,0,,,,,0,0,0,0,0,0,0,68,85.0%,0,0.0%,0,0.0%,9.40,12.4,10.9
12,12,2018-12-02,LAR,@,DET,W 30-16,HB,6,22,2,,,,,2,2,1,0,0,0,0,65,94.2%,0,0.0%,0,0.0%,28.50,34.5,30.0
13,13,2018-12-09,LAR,@,CHI,L 6-15,HB,1,1,0,,,,,0,0,0,0,0,0,0,62,98.4%,0,0.0%,0,0.0%,5.80,8.8,7.3
14,14,2018-12-16,LAR,,PHI,L 23-30,HB,2,6,2,1,1,9,0,2,6,2,0,0,0,0,63,82.9%,0,0.0%,0,0.0%,24.40,34.4,29.4
