target,home,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,fumbles_forced,interceptions,pass_yards_allowed,rush_yards_allowed,sacks,points_allowed,fumbles_forced_moving_avg_1,fumbles_forced_moving_max_1,fumbles_forced_moving_min_1,fumbles_forced_moving_avg_3,fumbles_forced_moving_max_3,fumbles_forced_moving_min_3,fumbles_forced_moving_avg_5,fumbles_forced_moving_max_5,fumbles_forced_moving_min_5,interceptions_moving_avg_1,interceptions_moving_max_1,interceptions_moving_min_1,interceptions_moving_avg_3,interceptions_moving_max_3,interceptions_moving_min_3,interceptions_moving_avg_5,interceptions_moving_max_5,interceptions_moving_min_5,pass_yards_allowed_moving_avg_1,pass_yards_allowed_moving_max_1,pass_yards_allowed_moving_min_1,pass_yards_allowed_moving_avg_3,pass_yards_allowed_moving_max_3,pass_yards_allowed_moving_min_3,pass_yards_allowed_moving_avg_5,pass_yards_allowed_moving_max_5,pass_yards_allowed_moving_min_5,rush_yards_allowed_moving_avg_1,rush_yards_allowed_moving_max_1,rush_yards_allowed_moving_min_1,rush_yards_allowed_moving_avg_3,rush_yards_allowed_moving_max_3,rush_yards_allowed_moving_min_3,rush_yards_allowed_moving_avg_5,rush_yards_allowed_moving_max_5,rush_yards_allowed_moving_min_5,sacks_moving_avg_1,sacks_moving_max_1,sacks_moving_min_1,sacks_moving_avg_3,sacks_moving_max_3,sacks_moving_min_3,sacks_moving_avg_5,sacks_moving_max_5,sacks_moving_min_5,points_allowed_moving_avg_1,points_allowed_moving_max_1,points_allowed_moving_min_1,points_allowed_moving_avg_3,points_allowed_moving_max_3,points_allowed_moving_min_3,points_allowed_moving_avg_5,points_allowed_moving_max_5,points_allowed_moving_min_5,inclement,fantpt_moving_avg_1,fantpt_moving_max_1,fantpt_moving_min_1,fantpt_moving_avg_3,fantpt_moving_max_3,fantpt_moving_min_3,fantpt_moving_avg_5,fantpt_moving_max_5,fantpt_moving_min_5,spread,count_player_tweets,count_opponent_tweets,count_player_swing_1_3,count_opponent_swing_1_3,player_net_sentiment,opponent_net_sentiment,player_pct_neutral,opponent_pct_neutral,net_sentiment_player_swing_1_3,net_sentiment_opponent_swing_1_3,pct_neutral_player_swing_1_3,pct_neutral_opponent_swing_1_3
29.34,1,44.5,28.0,16.0,,0,0,326,101,3,45,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,0.8,2.0,0.0,2.0,2.0,2.0,0.6666666666666666,2.0,0.0,0.4,2.0,0.0,135.0,135.0,135.0,198.0,254.0,135.0,200.8,254.0,135.0,46.0,46.0,46.0,83.33333333333333,107.0,46.0,81.8,107.0,46.0,3.0,3.0,3.0,2.3333333333333335,3.0,1.0,2.2,3.0,1.0,10.0,10.0,10.0,19.0,27.0,10.0,17.2,27.0,9.0,False,29.739999999999995,29.74,29.74,23.76,29.74,15.24,21.528,29.74,13.3,-4.0,214.0,524.0,0.7708333333333334,-0.072992700729927,-0.32710280373831774,-0.3053435114503817,0.397196261682243,1.102803738317757,-0.24705882352941178,-0.29551663184959026,0.5731092436974788,-0.04504969665677034
22.76,0,37.0,27.0,3.0,81.0,0,0,369,124,3,36,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.4,3.0,0.0,178.0,178.0,178.0,232.66666666666666,333.0,178.0,233.4,333.0,170.0,134.0,134.0,134.0,92.66666666666667,134.0,39.0,78.8,134.0,39.0,2.0,2.0,2.0,4.0,6.0,2.0,2.8,6.0,1.0,20.0,20.0,20.0,15.333333333333334,26.0,0.0,15.6,26.0,0.0,True,29.34,29.34,29.34,24.773333333333337,29.74,15.24,24.735999999999997,29.74,15.24,-3.0,313.0,262.0,-0.18421052631578946,0.22727272727272727,-0.26517571884984026,-0.22900763358778625,0.3961661341853035,0.3801916932907348,-0.0570719602977668,0.9012345679012346,-0.12442396313364053,-0.18518518518518526
14.52,1,43.5,32.0,8.0,,0,0,163,113,3,31,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.2,2.0,0.0,117.0,117.0,117.0,169.33333333333334,197.0,117.0,179.8,208.0,117.0,190.0,190.0,190.0,134.66666666666666,190.0,97.0,107.2,190.0,39.0,2.0,2.0,2.0,2.6666666666666665,4.0,2.0,2.6,4.0,1.0,7.0,7.0,7.0,14.333333333333334,20.0,7.0,10.6,20.0,3.0,False,22.76,22.76,22.76,27.280000000000005,29.74,22.76,24.676,29.74,15.24,-14.5,252.0,167.0,-0.12195121951219512,0.48148148148148145,-0.14285714285714285,-0.41916167664670656,0.4603174603174603,0.2857142857142857,-0.24074074074074078,1.3625000000000003,0.5944444444444446,-0.23500000000000004
18.9,0,45.5,22.0,1.0,69.0,0,0,140,217,1,34,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,1.6,4.0,0.0,276.0,276.0,276.0,183.0,276.0,86.0,208.6,276.0,86.0,65.0,65.0,65.0,126.66666666666667,210.0,65.0,143.8,210.0,65.0,3.0,3.0,3.0,1.6666666666666667,3.0,1.0,2.4,5.0,1.0,14.0,14.0,14.0,19.333333333333332,38.0,6.0,21.6,38.0,6.0,True,14.52,14.52,14.52,22.206666666666674,29.34,14.52,22.32,29.74,14.52,-9.0,172.0,75.0,0.06666666666666667,-0.06666666666666667,-0.14534883720930233,-0.26666666666666666,0.42441860465116277,0.1744186046511628,4.625,0.07142857142857138,0.5937500000000001,-0.38775510204081637
15.96,1,44.0,47.0,5.0,91.0,1,0,321,181,0,38,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.8,2.0,0.0,222.0,222.0,222.0,220.33333333333334,223.0,216.0,226.0,252.0,216.0,67.0,67.0,67.0,75.0,87.0,67.0,58.6,87.0,16.0,2.0,2.0,2.0,3.3333333333333335,6.0,2.0,2.6,6.0,1.0,34.0,34.0,34.0,19.0,34.0,6.0,17.4,34.0,6.0,True,18.900000000000002,18.9,18.9,18.72666666666667,22.76,14.52,23.052,29.74,14.52,-6.0,178.0,91.0,-1.0,-1.0,-0.2247191011235955,-0.5494505494505495,0.398876404494382,0.17415730337078653,,,,
34.98,0,47.0,82.0,1.0,73.0,0,1,517,106,1,38,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,321.0,321.0,321.0,255.33333333333334,321.0,222.0,239.8,321.0,216.0,181.0,181.0,181.0,106.33333333333333,181.0,67.0,91.6,181.0,52.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,2.4,6.0,0.0,38.0,38.0,38.0,29.666666666666668,38.0,17.0,21.6,38.0,6.0,False,15.96,15.96,15.96,16.460000000000004,18.9,14.52,20.296,29.34,14.52,-7.5,762.0,354.0,1.2105263157894737,2.2162162162162162,-0.23228346456692914,-0.288135593220339,0.473753280839895,0.18766404199475065,0.05555555555555555,-0.4990662931839403,-0.11843711843711835,0.0778711484593837
29.22,1,53.5,63.0,12.0,,0,0,423,94,2,35,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.2,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,39.0,39.0,39.0,171.0,269.0,39.0,145.2,269.0,39.0,159.0,159.0,159.0,135.66666666666666,159.0,102.0,103.2,159.0,48.0,2.0,2.0,2.0,1.6666666666666667,3.0,0.0,3.0,6.0,0.0,17.0,17.0,17.0,26.333333333333332,34.0,17.0,17.2,34.0,0.0,False,34.98,34.98,34.98,23.280000000000005,34.98,15.96,21.424,34.98,14.52,-7.0,617.0,117.0,-0.5539568345323741,-0.65,-0.1426256077795786,-0.3504273504273504,0.4376012965964344,0.05834683954619125,-0.3101736972704715,-1.0,0.08093317972350232,1.142857142857143
23.98,0,54.5,81.0,8.0,60.0,0,4,387,108,0,31,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.0,323.0,323.0,323.0,187.0,323.0,119.0,195.4,323.0,119.0,131.0,131.0,131.0,171.66666666666666,276.0,108.0,159.4,276.0,65.0,0.0,0.0,0.0,1.0,2.0,0.0,1.4,3.0,0.0,35.0,35.0,35.0,26.666666666666668,38.0,7.0,25.6,38.0,7.0,False,29.21999999999999,29.22,29.22,26.72000000000001,34.98,15.96,22.716,34.98,14.52,-7.5,466.0,638.0,-0.4056603773584906,-0.1111111111111111,-0.24892703862660945,-0.2554858934169279,0.463519313304721,0.5858369098712446,0.07682539682539676,-0.7857142857142858,-0.09401709401709407,0.26562500000000006
16.94,0,55.5,71.0,6.0,50.0,0,0,226,183,1,31,1.0,1.0,1.0,1.0,2.0,0.0,0.6,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0,1.0,369.0,369.0,369.0,312.3333333333333,369.0,264.0,251.6,369.0,142.0,100.0,100.0,100.0,120.33333333333333,223.0,38.0,133.4,223.0,38.0,4.0,4.0,4.0,3.3333333333333335,5.0,1.0,3.4,7.0,0.0,24.0,24.0,24.0,27.333333333333332,38.0,20.0,24.6,38.0,10.0,False,23.97999999999999,23.98,23.98,29.393333333333345,34.98,23.98,24.608,34.98,15.96,-6.5,465.0,591.0,-0.2808988764044944,0.36470588235294116,-0.3333333333333333,-0.047377326565143825,0.4344086021505376,0.5505376344086022,-0.31887755102040816,0.20381773399014785,0.011363636363636315,0.137704174228675
15.14,1,50.0,84.0,9.0,40.0,0,1,321,152,4,30,2.0,2.0,2.0,0.6666666666666666,2.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.6666666666666667,4.0,0.0,1.6,4.0,0.0,163.0,163.0,163.0,143.33333333333334,163.0,111.0,181.0,342.0,111.0,112.0,112.0,112.0,152.66666666666666,234.0,112.0,137.6,234.0,64.0,2.0,2.0,2.0,1.6666666666666667,2.0,1.0,2.2,4.0,1.0,34.0,34.0,34.0,23.666666666666668,34.0,3.0,23.8,34.0,3.0,False,16.939999999999987,16.94,16.94,23.380000000000013,29.22,16.94,24.216,34.98,15.96,-7.5,426.0,1148.0,-0.23809523809523808,-0.38762214983713356,-0.27699530516431925,-0.24738675958188153,0.47183098591549294,1.204225352112676,0.06640625000000006,0.04757125652348465,-0.03125,0.11493030080704322
