team,date,fumbles_forced,interceptions,pass_yards_allowed,rush_yards_allowed,sacks,points_allowed
HOU,12/13/10,0,0,235,63,5,34
HOU,12/19/10,0,1,237,147,3,31
HOU,12/26/10,0,1,308,126,1,24
HOU,1/2/10,1,1,140,198,2,17
GNB,9/12/10,1,0,199,149,6,20
GNB,9/19/10,0,2,102,124,4,7
GNB,9/27/10,0,1,221,77,3,20
GNB,10/3/10,1,2,331,123,3,26
GNB,10/10/10,0,1,357,51,5,16
GNB,10/17/10,0,1,231,150,0,23
GNB,10/24/10,0,3,212,196,1,24
GNB,10/31/10,1,2,256,119,2,0
GNB,11/7/10,2,2,183,39,4,7
GNB,11/21/10,1,1,208,93,1,3
GNB,11/28/10,0,0,197,117,2,20
GNB,12/5/10,0,1,194,97,4,16
GNB,12/12/10,0,2,117,190,2,7
GNB,12/19/10,0,0,163,113,3,31
GNB,12/26/10,2,4,301,90,1,17
GNB,1/2/10,0,2,168,110,6,3
GNB,1/9/10,0,1,292,81,3,16
GNB,1/15/10,2,2,186,45,5,21
GNB,1/23/10,0,3,233,83,2,14
GNB,2/6/10,0,0,304,50,3,31
NOR,9/9/10,0,1,171,91,1,9
NOR,9/20/10,2,2,275,142,0,22
NOR,9/26/10,1,0,228,202,2,27
NOR,10/3/10,1,0,146,118,3,14
NOR,10/10/10,0,1,174,41,4,30
NOR,10/17/10,1,0,236,42,1,6
NOR,10/24/10,0,0,87,125,1,30
NOR,10/31/10,1,1,195,108,3,10
NOR,11/7/10,1,1,107,127,4,3
NOR,11/21/10,2,0,366,58,0,19
NOR,11/25/10,2,1,313,144,1,27
NOR,12/5/10,0,0,249,96,3,30
NOR,12/12/10,1,2,231,136,3,13
NOR,12/19/10,0,0,172,208,3,30
NOR,12/27/10,2,0,148,75,1,14
NOR,1/2/10,2,0,255,84,3,23
NOR,1/8/10,0,1,272,150,2,41
PIT,9/12/10,0,1,252,58,2,9
PIT,9/19/10,4,3,215,46,4,11
PIT,9/26/10,1,1,251,75,4,13
PIT,10/3/10,1,1,256,70,1,17
PIT,10/17/10,1,2,281,69,6,10
PIT,10/24/10,1,1,257,64,1,22
PIT,10/31/10,1,1,305,30,2,20
PIT,11/8/10,1,1,248,54,4,21
PIT,11/14/10,0,0,350,103,0,39
PIT,11/21/10,1,2,168,61,6,3
PIT,11/28/10,1,1,265,74,2,16
PIT,12/5/10,1,0,266,43,4,10
PIT,12/12/10,0,3,178,34,3,7
PIT,12/19/10,0,0,170,106,1,22
PIT,12/23/10,1,1,72,74,4,3
PIT,1/2/10,0,3,210,43,4,9
PIT,1/15/10,2,1,125,35,5,24
PIT,1/23/10,1,0,233,70,2,19
PIT,2/6/10,0,0,304,50,3,31
NYJ,9/13/10,2,1,248,49,2,10
NYJ,9/19/10,1,2,248,52,1,14
NYJ,9/26/10,0,1,363,84,2,23
NYJ,10/3/10,2,0,128,114,3,14
NYJ,10/11/10,2,1,264,96,4,20
NYJ,10/17/10,2,0,209,145,1,20
NYJ,10/31/10,0,0,170,81,2,9
NYJ,11/7/10,0,0,240,78,2,20
NYJ,11/14/10,2,0,205,107,3,20
NYJ,11/21/10,1,0,254,97,1,27
NYJ,11/25/10,1,2,135,46,3,10
NYJ,12/6/10,0,0,326,101,3,45
NYJ,12/12/10,3,0,55,101,5,10
NYJ,12/19/10,0,0,264,146,3,17
NYJ,12/26/10,0,1,215,120,2,38
NYJ,1/2/10,2,4,130,37,3,7
NYJ,1/8/10,0,0,225,93,1,16
NYJ,1/16/10,0,1,299,113,5,21
NYJ,1/23/10,0,2,133,166,2,24
KAN,9/13/10,1,0,298,109,2,14
KAN,9/19/10,1,1,229,73,1,14
KAN,9/26/10,0,1,232,43,5,10
KAN,10/10/10,0,1,244,97,1,19
KAN,10/17/10,0,0,305,132,2,35
KAN,10/24/10,1,2,222,84,1,20
KAN,10/31/10,0,1,223,137,3,10
KAN,11/7/10,2,1,229,112,4,23
KAN,11/14/10,0,0,299,153,0,49
KAN,11/21/10,0,0,295,101,2,13
KAN,11/28/10,1,2,282,20,2,24
KAN,12/5/10,1,0,117,161,4,6
KAN,12/12/10,1,1,226,207,2,31
KAN,12/19/10,0,2,181,69,3,13
KAN,12/26/10,0,2,235,57,3,14
KAN,1/2/10,1,0,160,209,4,31
KAN,1/9/10,2,0,265,142,4,30
DET,9/12/10,3,1,372,101,4,19
DET,9/19/10,0,0,284,162,5,35
DET,9/26/10,1,2,201,183,2,24
DET,10/3/10,2,2,181,92,2,28
DET,10/10/10,1,2,215,128,1,6
DET,10/17/10,1,0,177,167,2,28
DET,10/31/10,1,1,254,80,7,25
DET,11/7/10,1,1,336,110,1,23
DET,11/14/10,1,0,146,149,1,14
DET,11/21/10,1,0,147,134,2,35
DET,11/25/10,0,0,341,109,1,45
DET,12/5/10,1,0,234,114,4,24
DET,12/12/10,1,2,223,66,4,3
DET,12/19/10,0,0,252,176,3,20
DET,12/26/10,1,2,278,154,2,27
DET,1/2/10,0,1,145,74,3,13
BAL,9/13/10,1,0,74,116,2,9
BAL,9/19/10,0,0,167,94,1,15
BAL,9/26/10,0,0,141,173,2,17
BAL,10/3/10,0,1,141,84,2,14
BAL,10/10/10,1,0,314,39,1,17
BAL,10/17/10,0,2,292,127,3,23
BAL,10/24/10,2,2,382,132,1,34
BAL,11/7/10,0,3,231,73,2,10
BAL,11/11/10,0,0,316,60,2,26
BAL,11/21/10,0,2,173,120,3,13
BAL,11/28/10,0,0,162,101,0,10
BAL,12/5/10,0,1,253,54,3,13
BAL,12/13/10,0,2,393,111,2,28
BAL,12/19/10,0,1,267,27,3,24
BAL,12/26/10,1,3,178,102,0,10
BAL,1/2/10,3,2,305,90,0,7
BAL,1/9/10,2,3,70,108,3,7
BAL,1/15/10,2,0,226,71,6,31
TEN,9/12/10,1,1,180,136,4,13
TEN,9/19/10,1,0,43,106,4,19
TEN,9/26/10,1,2,386,107,2,10
TEN,10/3/10,0,1,341,19,6,26
TEN,10/10/10,0,3,406,141,6,27
TEN,10/18/10,1,3,189,76,2,3
TEN,10/24/10,2,2,231,99,1,19
TEN,10/31/10,0,1,305,156,1,33
TEN,11/14/10,0,1,323,88,1,29
TEN,11/21/10,0,1,376,107,3,19
TEN,11/28/10,0,0,178,188,2,20
TEN,12/5/10,0,0,126,258,1,17
TEN,12/9/10,0,0,319,87,1,30
TEN,12/19/10,0,1,325,30,4,17
TEN,12/26/10,1,1,312,152,1,34
TEN,1/2/10,1,0,264,101,1,23
JAX,9/12/10,1,1,295,89,3,17
JAX,9/19/10,1,2,334,151,1,38
JAX,9/26/10,0,0,291,106,3,28
JAX,10/3/10,1,1,352,58,1,28
JAX,10/10/10,0,0,220,110,3,26
JAX,10/18/10,0,0,171,153,0,30
JAX,10/24/10,0,0,193,236,1,42
JAX,10/31/10,0,4,379,50,2,17
JAX,11/14/10,1,0,314,81,0,24
JAX,11/21/10,0,1,241,88,6,20
JAX,11/28/10,0,0,226,135,0,24
JAX,12/5/10,0,2,169,57,1,6
JAX,12/12/10,1,1,344,153,3,31
JAX,12/19/10,0,0,229,155,1,34
JAX,12/26/10,0,1,182,79,1,20
JAX,1/2/10,0,0,253,244,0,34
DEN,9/12/10,0,0,170,134,1,24
DEN,9/19/10,1,3,233,109,1,14
DEN,9/26/10,0,0,325,40,0,27
DEN,10/3/10,2,0,173,121,2,20
DEN,10/10/10,0,0,196,233,1,31
DEN,10/17/10,1,2,198,129,2,24
DEN,10/24/10,0,0,204,328,2,59
DEN,10/31/10,0,0,196,143,0,24
DEN,11/14/10,1,0,469,51,4,29
DEN,11/22/10,0,1,261,147,1,35
DEN,11/28/10,0,0,308,123,2,36
DEN,12/5/10,1,0,196,185,2,10
DEN,12/12/10,1,0,146,211,0,43
DEN,12/19/10,1,2,238,264,0,39
DEN,12/26/10,0,1,310,91,0,23
DEN,1/2/10,0,1,313,164,5,33
TAM,9/12/10,1,2,236,104,0,14
TAM,9/19/10,1,2,184,119,4,7
TAM,9/26/10,0,2,186,201,0,38
TAM,10/10/10,1,3,209,149,0,21
TAM,10/17/10,0,1,263,212,0,31
TAM,10/24/10,1,0,126,161,1,17
TAM,10/31/10,0,4,305,100,1,35
TAM,11/7/10,0,0,235,130,0,27
TAM,11/14/10,1,0,191,118,2,16
TAM,11/21/10,1,1,148,71,6,0
TAM,11/28/10,0,1,289,92,4,17
TAM,12/5/10,0,2,205,85,0,28
TAM,12/12/10,1,0,228,188,2,16
TAM,12/19/10,0,0,252,181,0,23
TAM,12/26/10,0,0,90,90,3,15
TAM,1/2/10,2,1,212,106,3,13
CHI,9/12/10,2,1,171,20,2,14
CHI,9/19/10,1,2,374,36,0,20
CHI,9/27/10,1,1,316,63,0,17
CHI,10/3/10,3,0,195,189,2,17
CHI,10/10/10,0,3,96,85,5,6
CHI,10/17/10,0,0,242,111,0,23
CHI,10/24/10,1,2,200,121,2,17
CHI,11/7/10,1,2,299,46,1,19
CHI,11/14/10,1,3,170,70,1,13
CHI,11/18/10,0,1,187,39,6,0
CHI,11/28/10,0,1,333,105,4,26
CHI,12/5/10,0,0,178,134,2,20
CHI,12/12/10,0,0,369,124,3,36
CHI,12/20/10,2,3,192,114,4,14
CHI,12/26/10,1,1,269,124,0,34
CHI,1/2/10,1,1,229,60,2,10
CHI,1/16/10,0,0,258,34,2,24
CHI,1/23/10,0,2,244,120,1,21
CIN,9/12/10,0,0,258,118,0,38
CIN,9/19/10,0,4,154,109,1,10
CIN,9/26/10,3,1,188,87,1,7
CIN,10/3/10,0,1,184,116,1,23
CIN,10/10/10,2,1,284,125,3,24
CIN,10/24/10,1,1,299,153,0,39
CIN,10/31/10,1,1,217,137,0,22
CIN,11/8/10,1,1,202,121,1,27
CIN,11/14/10,0,0,185,76,2,23
CIN,11/21/10,0,2,316,141,1,49
CIN,11/25/10,0,1,166,170,2,26
CIN,12/5/10,0,1,313,146,2,34
CIN,12/12/10,0,0,258,123,4,23
CIN,12/19/10,0,0,243,59,4,17
CIN,12/26/10,1,1,256,64,1,20
CIN,1/2/10,1,1,125,98,4,13
SEA,9/12/10,0,2,225,49,2,6
SEA,9/19/10,0,0,307,65,1,31
SEA,9/26/10,3,2,455,89,4,20
SEA,10/3/10,0,1,289,88,4,20
SEA,10/17/10,0,0,290,61,6,20
SEA,10/24/10,4,1,132,113,2,10
SEA,10/31/10,0,0,310,239,2,33
SEA,11/7/10,1,0,290,197,0,41
SEA,11/14/10,1,1,322,41,5,18
SEA,11/21/10,0,2,382,112,0,34
SEA,11/28/10,1,0,233,270,0,42
SEA,12/5/10,0,1,169,131,3,14
SEA,12/12/10,0,0,255,95,2,40
SEA,12/19/10,0,1,174,98,1,34
SEA,12/26/10,0,0,252,208,2,38
SEA,1/2/10,0,1,155,47,3,6
SEA,1/8/10,1,0,404,77,1,36
SEA,1/16/10,0,1,274,176,3,35
SFO,9/12/10,0,1,170,77,1,31
SFO,9/20/10,0,0,254,50,2,25
SFO,9/26/10,0,1,250,207,0,31
SFO,10/3/10,0,2,273,98,3,16
SFO,10/10/10,1,0,253,125,4,27
SFO,10/17/10,0,2,83,110,2,9
SFO,10/24/10,2,1,308,76,1,23
SFO,10/31/10,1,1,370,59,4,16
SFO,11/14/10,0,0,251,104,3,20
SFO,11/21/10,0,0,143,162,2,21
SFO,11/29/10,1,1,196,13,1,6
SFO,12/5/10,0,0,298,136,4,34
SFO,12/12/10,1,4,285,84,1,21
SFO,12/16/10,0,0,273,108,1,34
SFO,12/26/10,1,0,292,60,1,25
SFO,1/2/10,0,2,242,78,6,7
WAS,9/12/10,1,0,282,103,1,7
WAS,9/19/10,0,1,497,58,5,30
WAS,9/26/10,1,1,235,133,1,30
WAS,10/3/10,1,1,250,110,1,12
WAS,10/10/10,1,1,293,157,4,13
WAS,10/17/10,3,0,307,170,1,27
WAS,10/24/10,2,4,281,66,4,14
WAS,10/31/10,1,1,212,102,1,37
WAS,11/15/10,0,0,333,260,1,59
WAS,11/21/10,1,1,227,151,1,16
WAS,11/28/10,0,0,172,137,2,17
WAS,12/5/10,0,1,161,197,0,31
WAS,12/12/10,2,0,266,103,1,17
WAS,12/19/10,0,0,305,134,2,33
WAS,12/26/10,0,2,299,78,4,17
WAS,1/2/10,0,1,243,82,0,17
STL,9/12/10,4,0,297,112,2,17
STL,9/19/10,0,2,249,173,2,16
STL,9/26/10,1,1,236,116,1,16
STL,10/3/10,1,1,219,64,4,3
STL,10/10/10,0,0,238,89,1,44
STL,10/17/10,0,1,249,79,7,17
STL,10/24/10,0,0,212,124,3,18
STL,10/31/10,1,3,194,25,3,10
STL,11/14/10,0,0,356,98,5,23
STL,11/21/10,0,0,253,138,0,34
STL,11/28/10,2,0,347,119,3,33
STL,12/5/10,0,2,148,105,4,6
STL,12/12/10,1,2,221,132,1,31
STL,12/19/10,0,1,184,210,3,27
STL,12/26/10,1,1,273,85,4,17
STL,1/2/10,1,0,192,141,0,16
ARI,9/12/10,1,3,253,85,2,13
ARI,9/19/10,1,0,225,221,1,41
ARI,9/26/10,0,1,255,133,3,23
ARI,10/3/10,1,0,249,180,1,41
ARI,10/10/10,1,3,279,85,1,20
ARI,10/24/10,1,0,192,144,5,22
ARI,10/31/10,2,0,278,154,2,38
ARI,11/7/10,1,2,446,80,3,27
ARI,11/14/10,0,1,386,110,2,36
ARI,11/21/10,0,0,193,159,0,31
