Rk,G#,Date,Tm,,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,FantPt,DKPt,FDPt
1,1,9/8/13,NWE,@,BUF,W 23-21,QB,3,7,21,2,3,-3,0,3,7,21,2,1,0,0,15.12,17.1,16.1
2,2,9/12/13,NWE,,NYJ,W 13-10,QB,2,5,5,0,1,-2,0,0,2,0,0,1,-2,0,11.2,11.2,11.2
3,3,9/22/13,NWE,,TAM,W 23-3,QB,3,7,29,2,1,3,0,1,5,5,1,1,3,0,15.5,16.5,16.5
4,4,9/29/13,NWE,@,ATL,W 30-23,QB,3,6,22,2,0,0,0,1,3,1,1,0,0,0,20.44,23.4,20.4
5,5,10/6/13,NWE,@,CIN,L 6-13,QB,1,3,16,0,0,0,0,0,2,0,0,0,0,0,5.88,6.9,6.9
6,6,10/13/13,NWE,,NOR,W 30-27,QB,4,5,33,1,0,0,0,1,1,0,0,0,0,0,14.36,15.4,15.4
7,7,10/20/13,NWE,@,NYJ,L 27-30,QB,,,,,,,,,,,,,,,7.12,8.1,8.1
8,8,10/27/13,NWE,,MIA,W 27-17,QB,2,2,22,1,0,0,0,1,1,8,0,0,0,0,7.14,8.1,8.1
9,9,11/3/13,NWE,,PIT,W 55-31,QB,3,5,42,2,0,0,0,1,3,6,0,0,0,0,33.18,36.2,33.2
10,10,11/18/13,NWE,@,CAR,L 20-24,QB,1,3,9,1,0,0,0,1,2,9,1,0,0,0,14.14,15.1,15.1
11,11,11/24/13,NWE,,DEN,W 34-31,QB,6,9,51,3,2,0,0,3,4,16,2,0,0,0,23.76,27.8,23.8
12,12,12/1/13,NWE,@,HOU,W 34-31,QB,4,6,39,1,0,0,0,1,1,9,1,0,0,0,20.84,24.8,21.8
13,13,12/8/13,NWE,,CLE,W 27-26,QB,4,7,20,2,0,0,0,2,3,3,2,0,0,0,22.82,27.8,23.8
14,14,12/15/13,NWE,@,MIA,L 20-24,QB,2,11,19,1,0,0,0,1,4,6,0,0,0,0,20.56,24.6,21.6
15,15,12/22/13,NWE,@,BAL,W 41-7,QB,1,1,4,1,0,0,0,1,1,4,1,0,0,0,10.88,10.9,10.9
16,16,12/29/13,NWE,,BUF,W 34-20,QB,3,6,17,1,0,0,0,1,1,5,1,0,0,0,8.58,9.6,9.6
1,1,9/7/14,NWE,@,MIA,L 20-33,QB,3,3,18,1,0,0,0,2,2,9,1,0,0,0,10.26,12.3,10.3
2,2,9/14/14,NWE,@,MIN,W 30-7,QB,3,4,19,1,0,0,0,1,1,9,1,0,0,0,9.96,10,10
3,3,9/21/14,NWE,,OAK,W 16-9,QB,4,9,29,1,0,0,0,1,4,6,1,0,0,0,12.66,12.7,12.7
4,4,9/29/14,NWE,@,KAN,L 14-41,QB,,,,,,,,,,,,,,,4.36,7.4,6.4
5,5,10/5/14,NWE,,CIN,W 43-17,QB,3,5,37,2,4,13,0,1,3,4,0,3,7,0,20.98,21,21
