target,home,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,fumbles_forced,interceptions,pass_yards_allowed,rush_yards_allowed,sacks,points_allowed,fumbles_forced_moving_avg_1,fumbles_forced_moving_max_1,fumbles_forced_moving_min_1,fumbles_forced_moving_avg_3,fumbles_forced_moving_max_3,fumbles_forced_moving_min_3,fumbles_forced_moving_avg_5,fumbles_forced_moving_max_5,fumbles_forced_moving_min_5,interceptions_moving_avg_1,interceptions_moving_max_1,interceptions_moving_min_1,interceptions_moving_avg_3,interceptions_moving_max_3,interceptions_moving_min_3,interceptions_moving_avg_5,interceptions_moving_max_5,interceptions_moving_min_5,pass_yards_allowed_moving_avg_1,pass_yards_allowed_moving_max_1,pass_yards_allowed_moving_min_1,pass_yards_allowed_moving_avg_3,pass_yards_allowed_moving_max_3,pass_yards_allowed_moving_min_3,pass_yards_allowed_moving_avg_5,pass_yards_allowed_moving_max_5,pass_yards_allowed_moving_min_5,rush_yards_allowed_moving_avg_1,rush_yards_allowed_moving_max_1,rush_yards_allowed_moving_min_1,rush_yards_allowed_moving_avg_3,rush_yards_allowed_moving_max_3,rush_yards_allowed_moving_min_3,rush_yards_allowed_moving_avg_5,rush_yards_allowed_moving_max_5,rush_yards_allowed_moving_min_5,sacks_moving_avg_1,sacks_moving_max_1,sacks_moving_min_1,sacks_moving_avg_3,sacks_moving_max_3,sacks_moving_min_3,sacks_moving_avg_5,sacks_moving_max_5,sacks_moving_min_5,points_allowed_moving_avg_1,points_allowed_moving_max_1,points_allowed_moving_min_1,points_allowed_moving_avg_3,points_allowed_moving_max_3,points_allowed_moving_min_3,points_allowed_moving_avg_5,points_allowed_moving_max_5,points_allowed_moving_min_5,inclement,fantpt_moving_avg_1,fantpt_moving_max_1,fantpt_moving_min_1,fantpt_moving_avg_3,fantpt_moving_max_3,fantpt_moving_min_3,fantpt_moving_avg_5,fantpt_moving_max_5,fantpt_moving_min_5,spread
25.0,1,49.5,37.0,5.0,55.0,0,1,302,115,1,34,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,3.0,3.0,3.0,1.3333333333333333,3.0,0.0,1.0,3.0,0.0,138.0,138.0,138.0,265.0,342.0,138.0,271.6,342.0,138.0,24.0,24.0,24.0,97.33333333333333,165.0,24.0,95.2,165.0,24.0,1.0,1.0,1.0,2.0,3.0,1.0,1.6,3.0,1.0,0.0,0.0,0.0,20.333333333333332,31.0,0.0,24.0,31.0,0.0,False,12.000000000000007,12.0,12.0,15.800000000000002,20.0,12.0,13.580000000000002,20.0,10.2,-8.0
15.3,0,51.0,72.0,0.0,,0,2,270,171,2,30,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,4.0,4.0,4.0,2.0,4.0,1.0,1.6,4.0,0.0,365.0,365.0,365.0,335.3333333333333,365.0,289.0,333.6,373.0,289.0,40.0,40.0,40.0,65.33333333333333,81.0,40.0,88.2,138.0,40.0,0.0,0.0,0.0,1.6666666666666667,3.0,0.0,1.2,3.0,0.0,35.0,35.0,35.0,28.0,35.0,19.0,29.8,45.0,19.0,False,25.000000000000007,25.0,25.0,19.000000000000004,25.0,12.0,16.54,25.0,10.3,-4.0
7.7,0,47.0,33.0,6.0,58.0,2,1,242,197,3,38,0.0,0.0,0.0,1.6666666666666667,4.0,0.0,1.4,4.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.0,2.0,0.0,126.0,126.0,126.0,194.66666666666666,296.0,126.0,233.8,327.0,126.0,61.0,61.0,61.0,114.0,207.0,61.0,118.0,207.0,61.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.0,3.0,3.0,3.0,10.0,20.0,3.0,18.0,33.0,3.0,False,15.300000000000011,15.3,15.3,17.433333333333337,25.0,12.0,17.54,25.0,12.0,3.0
8.5,1,44.5,37.0,1.0,46.0,2,1,263,107,6,14,0.0,0.0,0.0,1.3333333333333333,4.0,0.0,0.8,4.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.0,2.0,0.0,194.0,194.0,194.0,179.66666666666666,194.0,158.0,211.2,306.0,158.0,104.0,104.0,104.0,133.66666666666666,213.0,84.0,104.2,213.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,40.0,40.0,40.0,25.0,40.0,14.0,23.8,40.0,13.0,False,7.70000000000001,7.7,7.7,16.000000000000004,25.0,7.7,16.0,25.0,7.7,-14.5
25.7,0,44.5,72.0,0.0,,1,0,187,236,3,31,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.2,2.0,0.0,192.0,192.0,192.0,216.33333333333334,273.0,184.0,203.6,273.0,148.0,141.0,141.0,141.0,145.33333333333334,210.0,85.0,134.6,210.0,85.0,0.0,0.0,0.0,2.3333333333333335,4.0,0.0,2.4,4.0,0.0,16.0,16.0,16.0,20.0,27.0,16.0,19.4,31.0,6.0,False,8.50000000000001,8.5,8.5,10.500000000000005,15.3,7.7,13.7,25.0,7.7,-4.0
23.6,0,49.5,72.0,0.0,,2,1,314,133,0,31,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.2,2.0,0.0,312.0,312.0,312.0,286.6666666666667,366.0,182.0,263.2,366.0,154.0,88.0,88.0,88.0,107.0,137.0,88.0,96.8,137.0,72.0,5.0,5.0,5.0,3.3333333333333335,5.0,2.0,2.6,5.0,1.0,30.0,30.0,30.0,29.333333333333332,48.0,10.0,24.6,48.0,10.0,False,25.70000000000001,25.7,25.7,13.966666666666674,25.7,7.7,16.44,25.7,7.7,-2.5
20.1,1,46.5,79.0,5.0,79.0,0,3,211,177,2,16,2.0,2.0,2.0,1.0,2.0,0.0,1.4,3.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,331.0,331.0,331.0,304.0,331.0,276.0,330.4,404.0,276.0,59.0,59.0,59.0,72.0,83.0,59.0,80.4,119.0,59.0,2.0,2.0,2.0,2.6666666666666665,4.0,2.0,2.4,4.0,2.0,16.0,16.0,16.0,20.333333333333332,28.0,16.0,24.0,45.0,14.0,False,23.600000000000012,23.6,23.6,19.266666666666676,25.7,8.5,16.160000000000004,25.7,7.7,-8.0
11.2,1,43.5,54.0,2.0,78.0,2,1,416,108,2,23,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,2.0,2.0,2.0,1.6666666666666667,2.0,1.0,1.4,2.0,0.0,157.0,157.0,157.0,262.0,432.0,157.0,264.0,432.0,157.0,79.0,79.0,79.0,62.666666666666664,79.0,45.0,65.2,79.0,45.0,1.0,1.0,1.0,2.3333333333333335,5.0,1.0,2.8,6.0,1.0,8.0,8.0,8.0,17.333333333333332,27.0,8.0,16.8,27.0,7.0,True,20.100000000000016,20.1,20.1,23.133333333333344,25.7,20.1,17.12,25.7,7.7,-10.0
16.7,0,53.0,75.0,6.0,47.0,1,4,315,174,0,24,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.6,2.0,0.0,2.0,2.0,2.0,2.3333333333333335,4.0,1.0,1.8,4.0,1.0,298.0,298.0,298.0,336.0,387.0,298.0,249.2,387.0,119.0,171.0,171.0,171.0,136.66666666666666,171.0,108.0,158.8,276.0,108.0,2.0,2.0,2.0,0.6666666666666666,2.0,0.0,1.0,2.0,0.0,23.0,23.0,23.0,29.666666666666668,35.0,23.0,26.8,38.0,7.0,False,11.200000000000014,11.2,11.2,18.30000000000001,23.6,11.2,17.82,25.7,8.5,-3.0
19.9,0,46.5,69.0,7.0,26.0,0,2,237,192,2,20,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.8,1.0,0.0,164.0,164.0,164.0,223.33333333333334,255.0,164.0,236.2,268.0,164.0,45.0,45.0,45.0,87.66666666666667,125.0,45.0,84.0,125.0,45.0,7.0,7.0,7.0,3.6666666666666665,7.0,1.0,3.0,7.0,0.0,10.0,10.0,10.0,16.333333333333332,21.0,10.0,16.0,21.0,10.0,False,16.700000000000014,16.7,16.7,16.00000000000001,20.1,11.2,19.46,25.7,11.2,-3.0
32.0,1,49.5,42.0,5.0,64.0,0,0,279,239,4,34,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.2,2.0,1.0,196.0,196.0,196.0,241.66666666666666,289.0,196.0,230.8,289.0,179.0,70.0,70.0,70.0,78.0,101.0,63.0,74.6,101.0,63.0,1.0,1.0,1.0,1.3333333333333333,3.0,0.0,2.6,6.0,0.0,7.0,7.0,7.0,20.333333333333332,34.0,7.0,20.2,34.0,7.0,False,19.90000000000001,19.9,19.9,15.933333333333344,19.9,11.2,18.300000000000004,23.6,11.2,-3.0
17.7,1,47.5,51.0,2.0,74.0,1,1,213,119,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,4.0,4.0,4.0,1.6666666666666667,4.0,0.0,1.4,4.0,0.0,264.0,264.0,264.0,253.0,276.0,219.0,286.0,374.0,219.0,30.0,30.0,30.0,88.0,181.0,30.0,106.6,181.0,30.0,1.0,1.0,1.0,2.3333333333333335,5.0,1.0,1.8,5.0,0.0,18.0,18.0,18.0,17.333333333333332,24.0,10.0,21.6,29.0,10.0,False,32.00000000000001,32.0,32.0,22.866666666666678,32.0,16.7,19.98,32.0,11.2,-8.0
15.3,1,47.5,61.0,1.0,40.0,0,2,128,166,2,17,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.4,1.0,0.0,255.0,255.0,255.0,317.3333333333333,361.0,255.0,288.4,361.0,169.0,150.0,150.0,150.0,116.0,150.0,91.0,114.8,172.0,54.0,4.0,4.0,4.0,3.0,4.0,2.0,2.2,4.0,1.0,13.0,13.0,13.0,25.0,32.0,13.0,28.0,34.0,13.0,False,17.700000000000003,17.7,17.7,23.200000000000014,32.0,17.7,19.5,32.0,11.2,-13.0
11.5,0,45.5,58.0,1.0,66.0,0,3,258,136,1,17,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.4,2.0,1.0,242.0,242.0,242.0,240.66666666666666,342.0,138.0,256.2,342.0,138.0,77.0,77.0,77.0,109.33333333333333,145.0,77.0,125.6,155.0,77.0,2.0,2.0,2.0,3.0,5.0,2.0,3.6,6.0,2.0,27.0,27.0,27.0,21.333333333333332,27.0,17.0,24.8,36.0,17.0,False,15.3,15.3,15.3,21.666666666666675,32.0,15.3,20.32,32.0,15.3,6.0
