target,player_home,betting_over_under_line,weather_temperature,weather_wind_mph,weather_humidity,defense_fumbles_forced_moving_avg_1,defense_fumbles_forced_moving_max_1,defense_fumbles_forced_moving_min_1,defense_fumbles_forced_moving_avg_3,defense_fumbles_forced_moving_max_3,defense_fumbles_forced_moving_min_3,defense_fumbles_forced_moving_avg_5,defense_fumbles_forced_moving_max_5,defense_fumbles_forced_moving_min_5,defense_interceptions_moving_avg_1,defense_interceptions_moving_max_1,defense_interceptions_moving_min_1,defense_interceptions_moving_avg_3,defense_interceptions_moving_max_3,defense_interceptions_moving_min_3,defense_interceptions_moving_avg_5,defense_interceptions_moving_max_5,defense_interceptions_moving_min_5,defense_pass_yards_allowed_moving_avg_1,defense_pass_yards_allowed_moving_max_1,defense_pass_yards_allowed_moving_min_1,defense_pass_yards_allowed_moving_avg_3,defense_pass_yards_allowed_moving_max_3,defense_pass_yards_allowed_moving_min_3,defense_pass_yards_allowed_moving_avg_5,defense_pass_yards_allowed_moving_max_5,defense_pass_yards_allowed_moving_min_5,defense_rush_yards_allowed_moving_avg_1,defense_rush_yards_allowed_moving_max_1,defense_rush_yards_allowed_moving_min_1,defense_rush_yards_allowed_moving_avg_3,defense_rush_yards_allowed_moving_max_3,defense_rush_yards_allowed_moving_min_3,defense_rush_yards_allowed_moving_avg_5,defense_rush_yards_allowed_moving_max_5,defense_rush_yards_allowed_moving_min_5,defense_sacks_moving_avg_1,defense_sacks_moving_max_1,defense_sacks_moving_min_1,defense_sacks_moving_avg_3,defense_sacks_moving_max_3,defense_sacks_moving_min_3,defense_sacks_moving_avg_5,defense_sacks_moving_max_5,defense_sacks_moving_min_5,defense_points_allowed_moving_avg_1,defense_points_allowed_moving_max_1,defense_points_allowed_moving_min_1,defense_points_allowed_moving_avg_3,defense_points_allowed_moving_max_3,defense_points_allowed_moving_min_3,defense_points_allowed_moving_avg_5,defense_points_allowed_moving_max_5,defense_points_allowed_moving_min_5,weather_inclement,player_fantpt_moving_avg_1,player_fantpt_moving_max_1,player_fantpt_moving_min_1,player_fantpt_moving_avg_3,player_fantpt_moving_max_3,player_fantpt_moving_min_3,player_fantpt_moving_avg_5,player_fantpt_moving_max_5,player_fantpt_moving_min_5,betting_spread,twitter_count_player_tweets,twitter_count_opponent_tweets,twitter_count_player_swing_1_3,twitter_count_opponent_swing_1_3,twitter_player_net_sentiment,twitter_opponent_net_sentiment,twitter_player_pct_neutral,twitter_opponent_pct_neutral,twitter_net_sentiment_player_swing_1_3,twitter_net_sentiment_opponent_swing_1_3,twitter_pct_neutral_player_swing_1_3,twitter_pct_neutral_opponent_swing_1_3
25.0,1,49.5,37.0,5.0,55.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,3.0,3.0,3.0,1.3333333333333333,3.0,0.0,1.0,3.0,0.0,138.0,138.0,138.0,265.0,342.0,138.0,271.6,342.0,138.0,24.0,24.0,24.0,97.33333333333333,165.0,24.0,95.2,165.0,24.0,1.0,1.0,1.0,2.0,3.0,1.0,1.6,3.0,1.0,0.0,0.0,0.0,20.333333333333332,31.0,0.0,24.0,31.0,0.0,False,12.000000000000007,12.0,12.0,15.800000000000002,20.0,12.0,13.580000000000002,20.0,10.2,-8.0,129.0,95.0,28.0,2.5,-0.2868217054263566,-0.5263157894736842,0.3798449612403101,0.24806201550387597,-1.3793103448275863,0.1428571428571428,-1.0,-0.41666666666666663
15.3,0,51.0,72.0,0.0,,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,4.0,4.0,4.0,2.0,4.0,1.0,1.6,4.0,0.0,365.0,365.0,365.0,335.3333333333333,365.0,289.0,333.6,373.0,289.0,40.0,40.0,40.0,65.33333333333333,81.0,40.0,88.2,138.0,40.0,0.0,0.0,0.0,1.6666666666666667,3.0,0.0,1.2,3.0,0.0,35.0,35.0,35.0,28.0,35.0,19.0,29.8,45.0,19.0,False,25.000000000000007,25.0,25.0,19.000000000000004,25.0,12.0,16.54,25.0,10.3,-4.0,191.0,167.0,0.34285714285714286,0.42857142857142855,-0.32460732984293195,-0.31137724550898205,0.34554973821989526,0.4607329842931937,-0.2991239048811014,0.2444444444444446,-0.1942857142857144,-0.23809523809523808
7.7,0,47.0,33.0,6.0,58.0,0.0,0.0,0.0,1.6666666666666667,4.0,0.0,1.4,4.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.0,2.0,0.0,126.0,126.0,126.0,194.66666666666666,296.0,126.0,233.8,327.0,126.0,61.0,61.0,61.0,114.0,207.0,61.0,118.0,207.0,61.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.0,3.0,3.0,3.0,10.0,20.0,3.0,18.0,33.0,3.0,False,15.300000000000011,15.3,15.3,17.433333333333337,25.0,12.0,17.54,25.0,12.0,3.0,258.0,296.0,0.05454545454545454,-0.11688311688311688,-0.2248062015503876,-0.2972972972972973,0.3875968992248062,0.45348837209302323,-0.18719211822660092,-0.06457800511508946,0.42363636363636353,0.009276437847866534
8.5,1,44.5,37.0,1.0,46.0,0.0,0.0,0.0,1.3333333333333333,4.0,0.0,0.8,4.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.0,2.0,0.0,194.0,194.0,194.0,179.66666666666666,194.0,158.0,211.2,306.0,158.0,104.0,104.0,104.0,133.66666666666666,213.0,84.0,104.2,213.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,40.0,40.0,40.0,25.0,40.0,14.0,23.8,40.0,13.0,False,7.70000000000001,7.7,7.7,16.000000000000004,25.0,7.7,16.0,25.0,7.7,-14.5,591.0,114.0,6.928571428571429,6.222222222222222,-0.2893401015228426,-0.37719298245614036,0.42470389170896783,0.0829103214890017,1.6738738738738739,-0.7230769230769231,0.2920634920634921,-0.2528735632183909
25.7,0,44.5,72.0,0.0,,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.2,2.0,0.0,192.0,192.0,192.0,216.33333333333334,273.0,184.0,203.6,273.0,148.0,141.0,141.0,141.0,145.33333333333334,210.0,85.0,134.6,210.0,85.0,0.0,0.0,0.0,2.3333333333333335,4.0,0.0,2.4,4.0,0.0,16.0,16.0,16.0,20.0,27.0,16.0,19.4,31.0,6.0,False,8.50000000000001,8.5,8.5,10.500000000000005,15.3,7.7,13.7,25.0,7.7,-4.0,968.0,192.0,0.7482014388489209,1.3333333333333333,-0.22933884297520662,-0.21354166666666666,0.4225206611570248,0.09607438016528926,-0.622060552616108,0.07142857142857151,0.14666976096542125,0.25641025641025644
23.6,0,49.5,72.0,0.0,,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.2,2.0,0.0,312.0,312.0,312.0,286.6666666666667,366.0,182.0,263.2,366.0,154.0,88.0,88.0,88.0,107.0,137.0,88.0,96.8,137.0,72.0,5.0,5.0,5.0,3.3333333333333335,5.0,2.0,2.6,5.0,1.0,30.0,30.0,30.0,29.333333333333332,48.0,10.0,24.6,48.0,10.0,False,25.70000000000001,25.7,25.7,13.966666666666674,25.7,7.7,16.44,25.7,7.7,-2.5,781.0,224.0,0.17857142857142858,0.34146341463414637,-0.12419974391805377,-0.18303571428571427,0.4212548015364917,0.11907810499359796,-0.6606060606060605,-0.5740259740259741,-0.21938775510204087,0.07317073170731708
20.1,1,46.5,79.0,5.0,79.0,2.0,2.0,2.0,1.0,2.0,0.0,1.4,3.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,331.0,331.0,331.0,304.0,331.0,276.0,330.4,404.0,276.0,59.0,59.0,59.0,72.0,83.0,59.0,80.4,119.0,59.0,2.0,2.0,2.0,2.6666666666666665,4.0,2.0,2.4,4.0,2.0,16.0,16.0,16.0,20.333333333333332,28.0,16.0,24.0,45.0,14.0,False,23.600000000000012,23.6,23.6,19.266666666666676,25.7,8.5,16.160000000000004,25.7,7.7,-8.0,854.0,884.0,0.8085106382978723,-0.3359073359073359,-0.16510538641686182,-0.39819004524886875,0.44730679156908665,0.43676814988290397,-0.8156862745098039,-0.24709302325581392,-0.13079333663203027,0.09379968203497627
11.2,1,43.5,54.0,2.0,78.0,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,2.0,2.0,2.0,1.6666666666666667,2.0,1.0,1.4,2.0,0.0,157.0,157.0,157.0,262.0,432.0,157.0,264.0,432.0,157.0,79.0,79.0,79.0,62.666666666666664,79.0,45.0,65.2,79.0,45.0,1.0,1.0,1.0,2.3333333333333335,5.0,1.0,2.8,6.0,1.0,8.0,8.0,8.0,17.333333333333332,27.0,8.0,16.8,27.0,7.0,True,20.100000000000016,20.1,20.1,23.133333333333344,25.7,20.1,17.12,25.7,7.7,-10.0,570.0,229.0,-0.03278688524590164,0.0425531914893617,-0.2614035087719298,-0.27074235807860264,0.4105263157894737,0.17017543859649123,-0.12118644067796601,1.3979591836734697,0.10538641686182672,0.23210831721470024
16.7,0,53.0,75.0,6.0,47.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.6,2.0,0.0,2.0,2.0,2.0,2.3333333333333335,4.0,1.0,1.8,4.0,1.0,298.0,298.0,298.0,336.0,387.0,298.0,249.2,387.0,119.0,171.0,171.0,171.0,136.66666666666666,171.0,108.0,158.8,276.0,108.0,2.0,2.0,2.0,0.6666666666666666,2.0,0.0,1.0,2.0,0.0,23.0,23.0,23.0,29.666666666666668,35.0,23.0,26.8,38.0,7.0,False,11.200000000000014,11.2,11.2,18.30000000000001,23.6,11.2,17.82,25.7,8.5,-3.0,591.0,356.0,0.4017094017094017,-0.20224719101123595,-0.377326565143824,-0.18820224719101122,0.4077834179357022,0.24027072758037224,-0.5060975609756098,-0.10462776659959758,-0.026590693257359972,-0.3019662921348315
19.9,0,46.5,69.0,7.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.8,1.0,0.0,164.0,164.0,164.0,223.33333333333334,255.0,164.0,236.2,268.0,164.0,45.0,45.0,45.0,87.66666666666667,125.0,45.0,84.0,125.0,45.0,7.0,7.0,7.0,3.6666666666666665,7.0,1.0,3.0,7.0,0.0,10.0,10.0,10.0,16.333333333333332,21.0,10.0,16.0,21.0,10.0,False,16.700000000000014,16.7,16.7,16.00000000000001,20.1,11.2,19.46,25.7,11.2,-3.0,536.0,324.0,-0.11904761904761904,0.3,-0.3376865671641791,-0.19135802469135801,0.38619402985074625,0.23694029850746268,0.2648648648648649,1.5641025641025637,-0.17650103519668733,0.45000000000000007
32.0,1,49.5,42.0,5.0,64.0,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.2,2.0,1.0,196.0,196.0,196.0,241.66666666666666,289.0,196.0,230.8,289.0,179.0,70.0,70.0,70.0,78.0,101.0,63.0,74.6,101.0,63.0,1.0,1.0,1.0,1.3333333333333333,3.0,0.0,2.6,6.0,0.0,7.0,7.0,7.0,20.333333333333332,34.0,7.0,20.2,34.0,7.0,False,19.90000000000001,19.9,19.9,15.933333333333344,19.9,11.2,18.300000000000004,23.6,11.2,-3.0,612.0,559.0,-0.15894039735099338,0.4246575342465753,-0.28921568627450983,-0.23792486583184258,0.3741830065359477,0.40032679738562094,-0.838782864006406,-0.4150641025641025,-0.32385404492923,-0.1512678519382105
17.7,1,47.5,51.0,2.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,4.0,4.0,4.0,1.6666666666666667,4.0,0.0,1.4,4.0,0.0,264.0,264.0,264.0,253.0,276.0,219.0,286.0,374.0,219.0,30.0,30.0,30.0,88.0,181.0,30.0,106.6,181.0,30.0,1.0,1.0,1.0,2.3333333333333335,5.0,1.0,1.8,5.0,0.0,18.0,18.0,18.0,17.333333333333332,24.0,10.0,21.6,29.0,10.0,False,32.00000000000001,32.0,32.0,22.866666666666678,32.0,16.7,19.98,32.0,11.2,-8.0,745.0,613.0,-0.1693548387096774,0.11764705882352941,-0.26174496644295303,-0.24143556280587275,0.46442953020134226,0.3208053691275168,0.1730146875777944,-0.5918744228993537,0.0010339123242348997,-0.23627450980392162
15.3,1,47.5,61.0,1.0,40.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.4,1.0,0.0,255.0,255.0,255.0,317.3333333333333,361.0,255.0,288.4,361.0,169.0,150.0,150.0,150.0,116.0,150.0,91.0,114.8,172.0,54.0,4.0,4.0,4.0,3.0,4.0,2.0,2.2,4.0,1.0,13.0,13.0,13.0,25.0,32.0,13.0,28.0,34.0,13.0,False,17.700000000000003,17.7,17.7,23.200000000000014,32.0,17.7,19.5,32.0,11.2,-13.0,509.0,259.0,0.38095238095238093,0.42,-0.3182711198428291,-0.26640926640926643,0.35952848722986247,0.18860510805500982,-0.4256837098692033,-0.4466800804828975,-0.17142857142857137,-0.06812500000000006
11.5,0,45.5,58.0,1.0,66.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.4,2.0,1.0,242.0,242.0,242.0,240.66666666666666,342.0,138.0,256.2,342.0,138.0,77.0,77.0,77.0,109.33333333333333,145.0,77.0,125.6,155.0,77.0,2.0,2.0,2.0,3.0,5.0,2.0,3.6,6.0,2.0,27.0,27.0,27.0,21.333333333333332,27.0,17.0,24.8,36.0,17.0,False,15.3,15.3,15.3,21.666666666666675,32.0,15.3,20.32,32.0,15.3,6.0,595.0,715.0,-0.1015625,-0.5094339622641509,-0.3798319327731092,-0.27972027972027974,0.3831932773109244,0.7126050420168067,0.13892821031344796,0.8685897435897437,-0.15656887755102036,0.5651392632524707
