target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11.92,0.0,0.1351351351351351,0.9677419354838709,0.375,0.23809523809523808,0.0,0.7000000000000001,0.2584164439084059,1.0000000000000002,0.07561307821155541,0.01910858615438679,0.2650242243067724,0.3062393155817158,0.606506511212449,1.0,0.06839266450916938,0.05926681058607182,0.595770681987236,0.4032540127288585
22.68,1.0,0.32432432432432456,0.7419354838709676,0.6875,,0.0,0.2400000000000001,0.15512122243482906,0.054809470487037916,0.0911897160997711,0.04922103783530515,0.490490042515104,0.567192488899434,0.6211348096744567,0.0828306792587522,0.06807318894697537,0.0,0.1790463059281191,0.1990983926815945
10.72,0.0,0.5945945945945947,0.9516129032258064,0.0625,0.5238095238095237,0.0,0.78,0.21843679230890345,0.1600489152903052,0.021190997688530208,0.0,0.9999999999999999,0.2529505474019592,1.0,0.16893893581672467,0.0720031702001189,0.035213613709655936,0.5220604076004999,0.0
11.78,1.0,0.4054054054054057,0.564516129032258,0.875,,0.0,0.7000000000000001,0.14200826430071972,0.10192249893537003,0.10080492467274375,0.012943657022373201,0.3349572919962037,0.39622241805918046,0.6221324484201416,0.14724283020396137,0.059390856911979664,0.0517827663567226,0.0,0.32046363205015516
10.46,0.0,0.6756756756756759,0.7580645161290321,0.4375,0.6190476190476191,0.0,0.8800000000000001,0.1339805421832756,0.05767509638444581,0.10760953381669364,0.03453203701534497,0.6684141546526866,0.39115513676575264,0.48894202032277345,0.11139423846586571,0.0,0.09232380887111384,0.3856351801694051,0.1790103530619706
13.3,1.0,0.43243243243243246,0.4838709677419354,1.0,,0.0,0.6000000000000001,0.3620063605664441,0.24595847521409964,0.0686901280390151,0.05411737144195854,0.0,0.22563002372396235,0.4351464435146444,0.18066291835281414,0.061606354810238316,0.06183596009763946,0.8788462603792864,0.4229743079160866
23.06,0.0,0.3513513513513513,0.3548387096774194,0.8125,,0.0,0.66,0.1417952255374254,0.04080168200060914,0.07321071117406941,0.03126781461090938,0.45266968962002174,0.2732764321008435,0.588803924397634,0.10117208742130351,0.06295878878403151,0.1421870419231897,0.39260298996586007,0.3683401264769254
26.3,0.0,0.43243243243243246,0.4516129032258064,0.5,0.8333333333333333,1.0,1.0,0.24572509060275116,0.3088770618920196,0.08842053603075498,0.019064074030689937,0.27653997378768014,0.5454091408450985,0.5561864913329351,0.3693942245224029,0.06422926443213359,0.10963384314307799,0.5348159938620538,0.21014681447238756
15.24,1.0,0.7027027027027026,0.24193548387096775,0.375,,0.0,0.6400000000000001,0.4832629664771755,0.1413892771240033,0.08992674546018604,0.03865526531568467,0.1326961314403321,0.3719528076538158,0.10869115611626401,0.1426231271077076,0.07117343881097928,0.046756169486264175,0.444104181432594,0.21428592263594717
29.74,0.0,0.7297297297297298,0.8064516129032256,0.0,,0.0,0.52,0.17059106417705094,0.05773640726170994,,,0.007475365273530432,0.22732603464054502,0.0,0.08349377914423714,,,,
