target,1,2,3,4,5,6,7
30.8,0.0,0.1724137931034484,0.6842105263157894,0.0,,0.0,0.39024390243902446
6.1,0.0,0.44827586206896575,1.0,0.3571428571428571,0.719298245614035,0.0,0.5609756097560976
15.4,1.0,0.3448275862068968,0.5263157894736841,0.07142857142857142,0.543859649122807,0.0,0.46341463414634154
19.8,0.0,0.0,0.7368421052631577,0.07142857142857142,0.4385964912280701,0.0,0.853658536585366
8.5,1.0,0.3103448275862073,0.5789473684210527,0.07142857142857142,0.33333333333333337,0.0,0.6341463414634148
10.2,0.0,0.24137931034482785,0.7894736842105261,0.14285714285714285,0.22807017543859642,0.0,0.853658536585366
10.3,1.0,0.5862068965517242,0.33333333333333326,0.07142857142857142,0.14035087719298245,0.0,0.5609756097560976
15.4,0.0,0.3448275862068968,0.33333333333333326,0.21428571428571427,0.719298245614035,0.0,0.5365853658536586
20.0,1.0,0.6551724137931036,0.21052631578947367,0.5,0.7368421052631579,0.0,0.5365853658536586
12.0,0.0,0.3103448275862073,0.21052631578947367,0.07142857142857142,0.543859649122807,0.0,0.5365853658536586
25.0,1.0,0.7586206896551726,0.07017543859649122,0.3571428571428571,0.5087719298245613,0.0,0.3170731707317074
15.3,0.0,0.8620689655172415,0.6842105263157894,0.0,,0.0,0.5121951219512195
7.7,0.0,0.5862068965517242,0.0,0.42857142857142855,0.5614035087719299,0.0,0.853658536585366
8.5,1.0,0.41379310344827624,0.07017543859649122,0.07142857142857142,0.3508771929824561,0.0,0.0
25.7,0.0,0.41379310344827624,0.6842105263157894,0.0,,0.0,0.5121951219512195
23.6,0.0,0.7586206896551726,0.6842105263157894,0.0,,0.0,0.5853658536585367
20.1,1.0,0.5517241379310347,0.807017543859649,0.3571428571428571,0.9298245614035087,0.0,0.3170731707317074
11.2,1.0,0.3448275862068968,0.36842105263157887,0.14285714285714285,0.9122807017543858,1.0,0.2195121951219513
16.7,0.0,1.0,0.7368421052631577,0.42857142857142855,0.36842105263157887,0.0,0.5609756097560976
19.9,0.0,0.5517241379310347,0.631578947368421,0.5,0.0,0.0,0.5609756097560976
32.0,1.0,0.7586206896551726,0.1578947368421052,0.3571428571428571,0.6666666666666666,0.0,0.5609756097560976
17.7,1.0,0.6206896551724141,0.3157894736842104,0.14285714285714285,0.8421052631578948,0.0,0.3170731707317074
15.3,1.0,0.6206896551724141,0.49122807017543857,0.07142857142857142,0.24561403508771928,0.0,0.07317073170731714
11.5,0.0,0.48275862068965525,0.4385964912280702,0.07142857142857142,0.7017543859649124,0.0,1.0
12.1,1.0,0.827586206896552,0.5263157894736841,0.07142857142857142,0.5263157894736842,0.0,0.878048780487805
25.3,0.0,0.3448275862068968,0.10526315789473673,0.14285714285714285,,0.0,0.5609756097560976
19.1,0.0,0.41379310344827624,0.7894736842105261,0.07142857142857142,0.9999999999999999,0.0,0.853658536585366
25.7,1.0,0.3793103448275863,0.0350877192982455,0.6428571428571428,0.26315789473684215,0.0,0.5609756097560976
4.5,0.0,0.7931034482758621,0.6842105263157894,0.0,,0.0,0.5853658536585367
11.6,0.0,0.24137931034482785,0.6140350877192982,0.6428571428571428,0.543859649122807,0.0,0.2439024390243903
12.9,1.0,0.5862068965517242,0.7192982456140351,0.3571428571428571,0.24561403508771928,0.0,0.5609756097560976
7.8,0.0,0.24137931034482785,0.6842105263157894,0.0,,0.0,0.5609756097560976
14.0,1.0,0.5517241379310347,0.5263157894736841,0.5714285714285714,0.5789473684210525,1.0,0.6341463414634148
14.0,0.0,0.3793103448275863,0.26315789473684204,0.5,0.7368421052631579,1.0,0.902439024390244
10.8,1.0,0.6206896551724141,0.7017543859649122,1.0,0.5614035087719299,0.0,0.5365853658536586
18.7,1.0,0.3103448275862073,0.4385964912280702,0.9285714285714285,0.8596491228070174,1.0,0.5609756097560976
13.3,0.0,0.931034482758621,0.6842105263157894,0.0,,0.0,0.853658536585366
10.2,1.0,0.41379310344827624,0.5263157894736841,0.5,0.33333333333333337,0.0,0.8292682926829269
9.2,0.0,0.5172413793103452,0.33333333333333326,0.6428571428571428,0.5087719298245613,0.0,0.878048780487805
12.2,1.0,0.5172413793103452,0.1929824561403508,0.6428571428571428,0.45614035087719296,0.0,1.0
